Name,Cost,Damage,Quote,Source
What an ass! ,1,1,What an ass! ,"(Hamlet, Act 2, Scene 2)"
Infant-like,0,1,Your abilities are too infant-like for doing much alone,"(Coriolanus, Act 2, Scene 1)"
Cap of all the fools,0,1,Thou art the cap of all the fools,"(Timon of Athens, Act 4, Scene 3)"
Rogue,0,2,"Away, you mouldy rogue, away!","(Henry IV Part 2, Act 2, Scene 4)"
Not so much brain,1,2,He has not so much brain as ear-wax,"(Troilus and Cressida, Act 5, Scene 1)"
Too saucy,0,2,"You, minion, are too saucy"," (The Two Gentlemen of Verona, Act 1, Scene 2)"
Better strangers,0,2,I do desire that we may be better strangers,"(As You Like It, Act 3, Scene 2)"
sodden-witted lord!,1,3,Thou sodden-witted lord! Thou hast no more brain than I have in mine elbows,"(Troilus and Cressida, Act 2, Scene 1)"
Coward,2,3,"A most notable coward, an infinite and endless liar, an hourly promise breaker, the owner of no one good quality","(All’s Well That Ends Well, Act 3, Scene 6)"
Dry as biscuit,0,3,Your brain is as dry as the remainder biscuit after voyage,"(As You Like It Act 2, Scene 7)"
Scurvy companion,1,3,"I scorn you, scurvy companion","(Henry IV, Part 2, Act 2, Scene 4)"
I’ll beat thee,3,4,"I’ll beat thee, but I would infect my hands","(Timon of Athens, Act 4, Scene 3)"
False as hell,1,4,Heaven truly knows that thou art false as hell,"(Othello, Act 4, Scene 2)"
Thrice-double ass! ,4,4,What a thrice-double ass! ,"(The Tempest, Act 5, Scene 1)"
Out of my sight!,2,4,Out of my sight! Thou dost infect mine eyes,"(Richard III, Act 1, Scene 2)"
Not for all markets,2,5,"I must tell you friendly in your ear, sell when you can, you are not for all markets","(As You Like It, Act 3 Scene 5)"
Unable worms!,3,5,"Come, come, you froward and unable worms!","(The Taming Of The Shrew, Act 5, Scene 2)"
Thou wert clean,4,6,Would thou wert clean enough to spit upon,"(Timon of Athens, Act 4, Scene 3)"
Plague sore,4,6,"Thou art a boil, a plague sore","(King Lear, Act 2, Scene 2)"
Swine drunk,5,7,"Drunkenness is his best virtue, for he will be swine drunk, and in his sleep he does little harm, save to his bedclothes about him","(All’s Well That Ends Well, Act 4, Scene 3)"
