Name,Cost,Damage,Quote,Source
Infant-like,0,1,Your abilities are too infant-like for doing much alone,"(Coriolanus, Act 2, Scene 1)"
Butter,2,5,Thou art as fat as butter,"(Henry IV Part 1, Act 2, Scene 4)"
Wither’d hag! ,0,3,Thou hateful wither’d hag! ,"(Richard III, Act I, Scene 3)"
Juggler!,1,2,Threadbare juggler!,"(The Comedy of Errors, Act 5, Scene 1)"
Rascally!,1,3,"You poor, base, rascally, cheating lack-linen mate!","(Henry IV Part II, Act 2, Scene 4)"
Scurvy companion,1,3,"I scorn you, scurvy companion","(Henry IV, Part 2, Act 2, Scene 4)"
You scullion!,1,2,You scullion! You rampallian! You fustilarian! I’ll tickle your catastrophe! ,"(Henry IV Part 2, Act 2, Scene 1)"
Bawdy villain! ,1,2,"Bloody, bawdy villain! Remorseless, treacherous, lecherous, kindless villain! ","(Hamlet, Act 2, Scene 2)"
Toad!,1,3,Poisonous bunch-backed toad!,"(Richard III, Act 1, Scene 3)"
Thou flea,0,2,"Thou flea, thou nit, thou winter-cricket thou! ","(The Taming of the Shrew, Act 3, Scene 3)"
told by an idiot,1,3,"It is a tale told by an idiot, full of sound and fury, signifying nothing","(Macbeth, Act 5, Scene 5)"
Saucy lackey! ,0,2,Saucy lackey! ,"(As You Like It, Act 3, Scene 2)"
